id,city,state
000,Placeholders for areas with no proper zip code or addresses,
001,Destinations outside U.S.,
002,Not in use,
003,Not in use,
004,Not in use,
005,Holtsville,NY
006,San Juan,PR
007,San Juan,PR
008,Virgin Islands,VI
009,San Juan,PR
010,Springfield,MA
011,Springfield,MA
012,Pittsfield,MA
013,Greenfield,MA
014,Fitchburg,MA
015,Worcester,MA
016,Worcester,MA
017,Framingham,MA
018,Woburn,MA
019,Lynn,MA
020,Brockton,MA
021,Boston,MA
022,Boston,MA
023,Brockton,MA
024,Lexington,MA
025,Cape Cod,MA
026,Cape Cod,MA
027,Providence,RI
028,Providence,RI
029,Providence,RI
030,Manchester,NH
031,Manchester,NH
032,Waterville Valley,NH
033,Concord,NH
034,Keene,NH
035,Littleton,NH
036,Bellows Falls,VT
037,White River Junction,VT
038,Portsmouth,NH
039,Portsmouth,NH
040,Portland,ME
041,Portland,ME
042,Auburn,ME
043,Augusta,ME
044,Bangor,ME
045,Bath,ME
046,Ellsworth,ME
047,Houlton,ME
048,Rockland,ME
049,Waterville,ME
050,White River Junction,VT
051,Bellows Falls,VT
052,Bennington,VT
053,Brattleboro,VT
054,Burlington,VT
055,Andover,MA
056,Montpelier,VT
057,Rutland,VT
058,St. Johnsbury,VT
059,St. Johnsbury,VT
060,Hartford,CT
061,Hartford,CT
062,Willimantic,CT
063,New London,CT
064,New Haven,CT
065,New Haven,CT
066,Bridgeport,CT*
067,Waterbury,CT
068,Stamford,CT
069,Stamford,CT*
070,Newark,NJ
071,Newark,NJ
072,Elizabeth,NJ
073,Jersey City,NJ
074,Paterson,NJ
075,Paterson,NJ
076,Hackensack,NJ
077,Red Bank,NJ
078,Dover,NJ
079,Summit,NJ
080,Cherry Hill,NJ
081,Camden,NJ
082,Atlantic City,NJ
083,Bridgeton,NJ
084,Atlantic City,NJ
085,Trenton,NJ
086,Trenton,NJ
087,Lakewood,NJ
088,New Brunswick,NJ
089,New Brunswick,NJ
090,Military,AE
091,Military,AE
092,Military,AE
093,Military,AE
094,Military,AE
095,Military,AE
096,Military,AE
097,Military,AE
098,Military,AE
099,Military,AE
100,New York,NY
101,New York,NY
102,New York,NY
103,Staten Island,NY
104,The Bronx,NY
105,White Plains,NY
106,White Plains,NY
107,Yonkers,NY
108,New Rochelle,NY
109,Suffern,NY
110,Floral Park,NY
111,Long Island City,NY
112,Brooklyn,NY
113,Flushing,NY
114,Jamaica,NY
115,Mineola,NY
116,Far Rockaway,NY
117,Amityville,NY
118,Hicksville,NY
119,Riverhead,NY
120,Albany,NY
121,Albany,NY
122,Albany,NY
123,Schenectady,NY
124,Kingston,NY
125,Poughkeepsie,NY
126,Poughkeepsie,NY
127,Monticello,NY
128,Glens Falls,NY
129,Plattsburgh,NY
130,Syracuse,NY
131,Syracuse,NY
132,Syracuse,NY
133,Utica,NY
134,Utica,NY
135,Utica,NY
136,Watertown,NY
137,Binghamton,NY
138,Binghamton,NY
139,Binghamton,NY
140,Buffalo,NY
141,Buffalo,NY
142,Buffalo,NY
143,Niagara Falls,NY
144,Rochester,NY
145,Rochester,NY
146,Rochester,NY
147,Jamestown,NY
148,Elmira,NY
149,Elmira,NY
150,Pittsburgh,PA
151,Pittsburgh,PA
152,Pittsburgh,PA
153,Washington,PA
154,Uniontown,PA
155,Somerset,PA
156,Greensburg,PA
157,Indiana,PA
158,DuBois,PA
159,Johnstown,PA
160,Butler,PA
161,New Castle,PA
162,Kittanning,PA
163,Oil City,PA
164,Erie,PA
165,Erie,PA
166,Altoona,PA
167,Bradford,PA
168,State College,PA
169,Wellsboro,PA
170,Harrisburg,PA
171,Harrisburg,PA
172,Chambersburg,PA
173,York,PA
174,York,PA
175,Lancaster,PA
176,Lancaster,PA
177,Williamsport,PA
178,Sunbury,PA
179,Pottsville,PA
180,Lehigh Valley,PA
181,Allentown,PA
182,Hazleton,PA
183,East Stroudsburg,PA
184,Scranton,PA
185,Scranton,PA
186,Wilkes-Barre,PA
187,Wilkes-Barre,PA
188,Montrose,PA
189,Doylestown,PA
190,Philadelphia,PA
191,Philadelphia,PA
192,Philadelphia,PA
193,Paoli,PA
194,Norristown,PA
195,Reading,PA
196,Reading,PA
197,Wilmington,DE
198,Wilmington,DE
199,Dover,DE
200,Washington,DC
201,Dulles,VA
202,Washington,DC
203,Washington,DC
204,Washington,DC
205,Washington,DC
206,Waldorf,MD
207,Annapolis Junction,MD
208,Bethesda,MD
209,Silver Spring,MD
210,Baltimore,MD
211,Baltimore,MD
212,Baltimore,MD
213,Not in use,
214,Annapolis,MD
215,Cumberland,MD
216,Easton,MD
217,Frederick,MD
218,Salisbury,MD
219,Cecil County,MD
220,Washington,DC
221,Washington,DC
222,Arlington,VA
223,Alexandria,VA
224,Fredericksburg,VA
225,Fredericksburg,VA
226,Winchester,VA
227,Culpeper,VA
228,Harrisonburg,VA
229,Charlottesville,VA
230,Richmond,VA
231,Richmond,VA
232,Richmond,VA
233,Norfolk,VA
234,Norfolk,VA
235,Norfolk,VA
236,Newport News,VA
237,Portsmouth,VA
238,Petersburg,VA
239,Farmville,VA
240,Roanoke,VA
241,Roanoke,VA
242,Bristol,VA
243,Pulaski,VA
244,Staunton,VA
245,Lynchburg,VA
246,Bluefield,WV
247,Bluefield,WV
248,Welch,WV
249,Lewisburg,WV
250,Charleston,WV
251,Charleston,WV
252,Charleston,WV
253,Charleston,WV
254,Martinsburg,WV
255,Huntington,WV
256,Logan,WV
257,Huntington,WV
258,Beckley,WV
259,Beckley,WV
260,Wheeling,WV
261,Parkersburg,WV
262,Clarksburg,WV
263,Clarksburg,WV
264,Clarksburg,WV
265,Morgantown,WV
266,Sutton,WV
267,Cumberland,MD
268,Petersburg,WV
269,Not in use,
270,Winston-Salem,NC
271,Winston-Salem,NC
272,Greensboro,NC
273,Greensboro,NC
274,Greensboro,NC
275,Raleigh,NC
276,Raleigh,NC
277,Durham,NC
278,Rocky Mount,NC
279,Elizabeth City,NC
280,Charlotte,NC
281,Charlotte,NC
282,Charlotte,NC
283,Fayetteville,NC
284,Wilmington,NC
285,Kinston,NC
286,Hickory,NC
287,Asheville,NC
288,Asheville,NC
289,Andrews,NC
290,Columbia,SC
291,Columbia,SC
292,Columbia,SC
293,Spartanburg,SC
294,Charleston,SC
295,Florence,SC
296,Greenville,SC
297,Charlotte,NC
298,Augusta,GA
299,Beaufort,SC
300,Atlanta,GA
301,Atlanta,GA
302,Atlanta,GA
303,Atlanta,GA
304,Swainsboro,GA
305,Gainesville,GA
306,Athens,GA
307,Chattanooga,TN
308,Augusta,GA
309,Augusta,GA
310,Macon,GA
311,Atlanta,GA
312,Macon,GA
313,Savannah,GA
314,Savannah,GA
315,Waycross,GA
316,Valdosta,GA
317,Albany,GA
318,Columbus,GA
319,Columbus,GA
320,Jacksonville,FL
321,Daytona Beach,FL
322,Jacksonville,FL
323,Tallahassee,FL
324,Panama City,FL
325,Pensacola,FL
326,Gainesville,FL
327,Orlando,FL
328,Orlando,FL
329,Melbourne,FL
330,Miami,FL
331,Miami,FL
332,Miami,FL
333,Fort Lauderdale,FL
334,West Palm Beach,FL
335,Tampa,FL
336,Tampa,FL
337,St. Petersburg,FL
338,Lakeland,FL
339,Fort Myers,FL
340,Military,AA
341,Naples,FL
342,Bradenton,FL
343,Not in use,
344,Ocala,FL
345,Not in use,
346,Brooksville,FL
347,Orlando,FL
348,Not in use,
349,Fort Pierce,FL
350,Birmingham,AL
351,Birmingham,AL
352,Birmingham,AL
353,Not in use,
354,Tuscaloosa,AL
355,Jasper,AL
356,Decatur,AL
357,Huntsville,AL
358,Huntsville,AL
359,Gadsden,AL
360,Montgomery,AL
361,Montgomery,AL
362,Anniston,AL
363,Dothan,AL
364,Evergreen,AL
365,Mobile,AL
366,Mobile,AL
367,Selma,AL
368,Opelika,AL
369,Meridian,MS
370,Nashville,TN
371,Nashville,TN
372,Nashville,TN
373,Chattanooga,TN
374,Chattanooga,TN
375,Memphis,TN
376,Johnson City,TN
377,Knoxville,TN
378,Knoxville,TN
379,Knoxville,TN
380,Memphis,TN
381,Memphis,TN
382,McKenzie,TN
383,Jackson,TN
384,Columbia,TN
385,Cookeville,TN
386,Memphis,TN
387,Greenville,MS
388,Tupelo,MS
389,Grenada,MS
390,Jackson,MS
391,Jackson,MS
392,Jackson,MS
393,Meridian,MS
394,Hattiesburg,MS
395,Gulfport,MS
396,Brookhaven,MS
397,Columbus,MS
398,Albany,GA
399,Atlanta,GA
400,Louisville,KY
401,Louisville,KY
402,Louisville,KY
403,Lexington,KY
404,Lexington,KY
405,Lexington,KY
406,Frankfort,KY
407,Corbin,KY
408,Corbin,KY
409,Corbin,KY
410,Cincinnati,OH
411,Ashland,KY
412,Ashland,KY
413,Campton,KY
414,Campton,KY
415,Pikeville,KY
416,Pikeville,KY
417,Hazard,KY
418,Hazard,KY
419,Not in use,
420,Paducah,KY
421,Bowling Green,KY
422,Bowling Green,KY
423,Owensboro,KY
424,Evansville,IN
425,Somerset,KY
426,Albany,KY
427,Elizabethtown,KY
428,Not in use,
429,Not in use,
430,Columbus,OH
431,Columbus,OH
432,Columbus,OH
433,Marion,OH
434,Toledo,OH
435,Toledo,OH
436,Toledo,OH
